"id","name","price","type","categories","X","Y","geometry"
"Kb5EenNdRtXl0h9NLwU4Uw","Whole Foods Market","$$","grocery store","Grocery/Health Markets/Organic Stores",-83.05668135,42.34849281,c(-83.05668135, 42.34849281)
"a2r0rQ1ub9VM2XSAwPeA2A","Original Gonella's","$","grocery store","Delis/Sandwiches/Specialty Food",-83.1454439,42.2900737,c(-83.1454439, 42.2900737)
"qcXHK2hHHX8512NmM44HRA","Prince Valley Market","$$","grocery store","Grocery/Bakeries",-83.1159254,42.3310251,c(-83.1159254, 42.3310251)
"qW2oau5HbbDiLGmPGyGrNA","Bodega Cat","N/A","grocery store","Grocery/Beer/ Wine & Spirits/Convenience Stores",-83.09561,42.32394,c(-83.09561, 42.32394)
"PyWdjQkGTkOcprSk3WRFNw","Honey Bee La Colmena","$","grocery store","Mexican/International Grocery",-83.0765075683594,42.3256378173828,c(-83.0765075683594, 42.3256378173828)
"LoJszZJH6BoPKQnrxI3HzA","Midtown Market","N/A","grocery store","Grocery",-83.0638800540685,42.3507888051684,c(-83.0638800540685, 42.3507888051684)
"vV-1cJNeclCV08D6Jza36A","Papaya Express","$","grocery store","Grocery",-83.2053262,42.3436864,c(-83.2053262, 42.3436864)
"AjlfznP9abRtjed0E35_qQ","E & L Supermercado","$","grocery store","Meat Shops/Mexican/Grocery",-83.1061988,42.3167289,c(-83.1061988, 42.3167289)
"ymWJG6zOnYI6cm1w9Bmwkw","Garden Fresh Marketplace","$$$","grocery store","Grocery",-83.1260452270508,42.3315315246582,c(-83.1260452270508, 42.3315315246582)
"hUZ1Wcl5QHxpKrkCHAzl3Q","Dobry Super Market","N/A","grocery store","Grocery",-83.10474,42.3215,c(-83.10474, 42.3215)
"QxH6i7gNCLkzuxf2z0qHmQ","The Roost","N/A","grocery store","Coffee & Tea/Grocery",-83.0771834106544,42.3477231431607,c(-83.0771834106544, 42.3477231431607)
"VV5u7E9TAfPTbrUWj-bqRw","La Fiesta Market","$","grocery store","International Grocery",-83.121902,42.31339,c(-83.121902, 42.31339)
"P4-z0852w2-TVJXpiTtMqA","University Foods","$$","grocery store","Grocery",-83.0744565278292,42.353367805481,c(-83.0744565278292, 42.353367805481)
"YqmsCvd3w0RxEiAcYGj64w","Mudgie's Deli & Wine Shop","$$","grocery store","Delis/Wine Bars/American",-83.0620618595521,42.3291224327946,c(-83.0620618595521, 42.3291224327946)
"GeTKPx-yUO3YCLATqv_pTQ","Azteca Supermercado","N/A","grocery store","Grocery/Imported Food",-83.1256,42.31383,c(-83.1256, 42.31383)
"1UQm4Ek6ZVK0uC_ugkiM1w","Vernor Express Liquor Store","$$$","grocery store","Beer/ Wine & Spirits",-83.0901108,42.3221512,c(-83.0901108, 42.3221512)
"66OeH9RD62D3bXbqefjYvw","Giovanni's Ristorante","$$$","restaurant","Italian",-83.1459120674591,42.2903220548957,c(-83.1459120674591, 42.2903220548957)
